Constituency,Winner,Party,Voter,TOTAL SEATES,SEATS  WON,SEATES WON (MVA),TOTAL VOTES POLLED,VOTER TURNOUT,Alliance,Seats Won
Nandurbar (ST),Vijaykumar Gavit,BJP,"1,55,190",288,132,46,9.63 Crore+,66.57%,Mahayuti,235
Sindkheda,Jaykumar Rawal,BJP,"1,51,492",,,,,,MahaViks Aghadi (MVA),50
Shahada (ST),Rajesh Padvi,BJP,"1,46,839",,,,,,,
Yevla,Chhagan Bhujbal,NCP (Ajit Pawar),"1,35,023",,,,,,,
Vadgaon Sheri,Bapu Pathare,NCP (Sharad Pawar),"1,33,689",,,,,,,
Washim,Shyam Khode,BJP,"1,22,914",,,,,,,
Dhule City,Anup Agarwal,BJP,"1,16,538",,,,,,,
Jintur,Meghna Bordikar,BJP,"1,13,432",,,,,,,
Akkalkot,Sachin Kalyanshetti,BJP,"1,11,000+",,,,,,,
Chikhli,Shweta Mahale,BJP,"1,09,212",,,,,,,
